NAME,ISIN,Issue date,maturity date,coupon,Jan 2,Jan 3,Jan 6,Jan 7 ,Jan 8,Jan 9,Jan 10,Jan 13,Jan 14 ,Jan 15
CDA 2021,CA135087F585,4/11/2016,9/1/2021,0.75%,98.41,98.45,98.49,98.46,98.46,98.43,98.43,98.38,98.41,98.42
CDA 2020,CA135087D929,10/14/2014,3/1/2020,1.50%,99.85,99.86,99.86,99.86,99.86,99.86,99.86,99.86,99.86,99.86
CDA 2020,CA135087E596,4/13/2015,9/1/2020,0.75%,99.26,99.28,99.28,99.27,99.28,99.28,99.28,99.27,99.28,99.3
CDA 2022,CA135087G328,10/11/2016,3/1/2022,0.50%,97.57,97.63,97.66,97.65,97.64,97.6,97.61,97.57,97.58,97.61
CDA 2021,CA135087F254,10/19/2015,3/1/2021,0.75%,98.89,98.93,98.95,98.94,98.92,98.92,98.88,98.9,98.9,98.93
CANADA 19/25,CA135087K528,10/11/2019,3/1/2025,1.25%,98.24,98.43,98.58,98.48,98.48,98.3,98.25,98.24,98.34,98.47
CDA 2024,CA135087J546,10/5/2018,3/1/2024,2.25%,102.52,102.65,102.75,102.58,102.68,102.53,102.47,102.46,102.54,102.64
CDA 19/24,CA135087J967,4/5/2019,9/1/2024,1.50%,98.72,98.95,99.29,99.11,99.25,98.99,99.03,99.06,98.99,99.1
CDA 2023,CA135087A610,7/30/2012,6/1/2023,1.50%,99.48,99.59,99.65,99.61,99.62,99.54,99.53,99.44,99.49,99.56
CDA 2023,CA135087H490,10/6/2017,3/1/2023,1.75%,100.31,100.42,100.48,100.45,100.44,100.35,100.31,100.27,100.31,100.38
